Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
2015,1,1,16,5,1/16/15,AA,19805,AA,N201AA,125,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1415,1414,-1,0,0,-1,1400-1459,8,1422,1653,5,1713,1658,-15,0,0,-1,1700-1759,0,,0,118,104,91,1,731,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,6,2,1/6/15,AA,19805,AA,N3AHAA,128,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,2020,2051,31,31,1,2,2000-2059,16,2107,17,7,2353,24,31,31,1,2,2300-2359,0,,0,153,153,130,1,1172,5,6,0,0,0,25,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,29,4,1/29/15,AA,19805,AA,N555AA,129,12451,1245102,31136,JAX,"Jacksonville, FL",FL,12,Florida,33,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,700,658,-2,0,0,-1,0700-0759,30,728,847,14,855,901,6,6,0,0,0800-0859,0,,0,175,183,139,1,918,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,13,2,1/13/15,AA,19805,AA,N853AA,131,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1424,1437,13,13,0,0,1400-1459,23,1500,1751,7,1738,1758,20,20,1,1,1700-1759,0,,0,134,141,111,1,868,4,0,0,7,0,13,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,2,5,1/2/15,AA,19805,AA,N3JRAA,132,14100,1410002,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1825,1836,11,11,0,0,1800-1859,23,1859,2150,12,2125,2202,37,37,1,2,2100-2159,0,,0,240,266,231,1,1303,6,11,0,26,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

