CARRIER,ORIGIN,DEST,DEP_TIME,ARR_TIME,DISTANCE,DEP_DEL15
OO,FSD,DEN,1312,1352,483,0
OO,SAT,IAH,1343,1450,191,0
UA,SFO,IAH,841,1458,1635,0
UA,SAT,IAH,1052,1145,191,0
UA,TPA,IAD,918,1125,811,0
US,PHL,RDU,1814,1956,337,0
US,IAH,CLT,658,1020,912,0
US,PHX,KOA,1027,1358,2860,0
WN,DAY,BWI,2231,2346,406,1
WN,BWI,TPA,1927,2158,842,1
WN,SAT,STL,1723,1916,786,1
WN,TUL,DEN,843,927,541,0
WN,HOU,OKC,1130,1252,419,0
WN,MAF,LAS,1815,1825,795,1
WN,MSP,ATL,559,916,907,0
AA,HNL,LAX,1215,2041,2556,0
AA,ORD,LAX,735,1001,1744,0
AA,DFW,STL,1815,2004,550,0
AS,PDX,SFO,1304,1444,550,0
B6,DCA,BOS,808,927,399,0
B6,AUS,MCO,1644,2006,994,0
DL,HOU,ATL,1657,1957,696,0
DL,ATL,BNA,1510,1515,214,0
DL,TLH,ATL,656,757,223,0
DL,ATL,STL,1141,1215,484,0
DL,PSC,SLC,606,837,521,0
EV,EWR,ALB,842,1019,143,0
EV,MSP,STL,1000,1140,448,0
EV,DTW,MDW,1203,1220,228,0
F9,DEN,ATL,827,1332,1199,1
HA,LIH,HNL,1451,1525,102,0
MQ,TYS,ORD,1237,1302,475,1
OO,ABQ,IAH,1819,2132,744,1
OO,SLC,TUS,1507,1554,601,0
OO,DEN,DSM,1439,1714,589,1
OO,DEN,PDX,1625,1749,991,1
UA,SFO,ORD,1014,1631,1846,0
UA,IAD,ORD,22,104,589,1
UA,HNL,LAX,1504,2334,2556,0
US,MSP,PHL,1407,1726,980,1
US,CLT,JFK,1423,1606,541,0
VX,JFK,LAX,916,1207,2475,0
WN,HOU,MSY,1205,1300,302,0
WN,SAT,DAL,1814,1916,248,0
WN,MSY,HOU,2249,10,302,1
WN,RDU,BNA,540,608,442,0
WN,SMF,ONT,524,642,390,0
WN,BNA,MDW,717,839,395,0
WN,DAL,MAF,2049,2243,319,1
AA,LAX,LAS,1639,1749,236,0
AA,SAN,DFW,1416,1927,1171,0
AA,DFW,DCA,2226,228,1192,1
AA,ORD,SJU,901,1453,2072,1
B6,CLT,BOS,1135,1347,728,0
DL,SLC,BOI,2204,2305,290,0
DL,ATL,PHL,2142,2324,666,1
DL,PBI,ATL,1754,1948,545,0
EV,MOB,IAH,624,752,427,0
EV,ATL,CHO,1025,1159,457,0
DL,SEA,ATL,2339,721,2182,0
F9,MCO,PHL,2023,2253,861,1
MQ,CVG,ORD,922,941,265,0
NK,ORD,LGA,551,846,733,0
OO,PHX,SBP,954,1132,509,0
OO,DEN,COS,1528,1608,73,1
OO,FSD,DEN,937,1019,483,0
UA,ORD,MCO,1544,1921,1005,0
UA,JFK,LAX,559,921,2475,0
US,LAX,PHL,2208,610,2402,0
US,CLT,LAX,740,946,2125,0
WN,MCO,MCI,1535,1723,1072,0
WN,BWI,MCO,1406,1611,787,1
WN,FLL,BWI,1408,1627,925,0
WN,ABQ,HOU,607,856,759,0
WN,SEA,SAN,1709,1937,1050,0
WN,PHX,SLC,1313,1540,507,0
AA,LAX,DCA,817,1618,2311,1
AA,DFW,MCI,1706,1830,460,0
AA,LAX,DFW,625,1127,1235,0
AS,OGG,OAK,1512,2256,2349,0
B6,BOS,RSW,1102,1417,1249,0
DL,DCA,MSP,832,1008,931,0
DL,JFK,SJU,924,1312,1598,0
DL,SMF,ATL,1238,2021,2092,0
EV,ORD,IND,1601,1817,177,0
EV,BRO,IAH,1652,1813,308,0
DL,ATL,RIC,1659,1832,481,0
DL,BOS,DTW,2051,2253,632,1
EV,CRW,ATL,1722,1840,363,1
F9,DEN,ATL,1440,1943,1199,0
HA,HNL,LIH,1346,1429,102,0
MQ,ORD,BNA,1830,2003,409,0
OO,DFW,SFO,1903,2054,1464,0
OO,CVG,DTW,1746,1854,229,0
OO,MSP,FSD,1604,1656,196,0
OO,DEN,IDA,1849,2018,458,0
UA,EWR,TPA,1236,1521,997,0
US,SEA,PHX,508,748,1107,0
