MQ,ORD,1842,2005,0
WN,MSY,2013,2256,0
EV,DFW,1224,1350,0
EV,DEN,1059,1535,1
UA,IAH,1732,2140,1
EV,DFW,1728,1819,1
UA,SFO,639,1016,0
WN,ALB,645,933,0
WN,SNA,1328,1440,0
MQ,GRB,638,738,0
EV,EWR,1954,2149,0
DL,LGA,759,907,0
WN,DEN,1715,2248,0
US,CLT,2208,21,0
FL,ATL,1645,1739,0
OO,BOI,842,923,0
EV,MEM,1906,2236,0
UA,DEN,1939,2150,0
WN,DEN,1327,1618,1
UA,EWR,1203,1456,0
AA,RIC,727,922,0
HA,HNL,1349,2154,0
DL,KOA,2116,513,0
OO,TUS,701,854,0
EV,IAD,837,947,0
WN,BOI,902,943,0
DL,MCO,1827,2058,0
OO,RNO,1647,1755,0
OO,MSP,2155,2311,0
WN,PHX,1005,1314,0
DL,ATL,1444,1634,0
EV,ORD,1158,1250,0
AS,SEA,1842,2116,0
HA,HNL,1944,2027,0
AS,SEA,1039,1338,0
DL,DTW,1804,1948,1
UA,SFO,1103,1325,0
9E,CLT,556,745,0
DL,ATL,1216,1316,0
WN,MAF,640,753,0
US,IAH,1857,2236,1
US,BNA,551,823,0
F9,DEN,1751,1854,0
EV,LFT,959,1059,0
EV,ABY,558,641,0
WN,HRL,1248,1344,0
AA,IAH,1912,2230,1
US,LGA,1259,1411,0
WN,PHX,2156,2153,1
US,PHL,1154,1448,0
DL,LIT,713,940,0
WN,CHS,835,957,1
EV,BOS,946,1145,0
WN,HOU,1530,1621,0
DL,ATL,1358,1347,0
HA,HNL,1450,1530,0
MQ,BHM,557,841,0
OO,PHX,947,1116,0
WN,PHX,1313,1540,0
OO,SFO,836,951,0
US,LAS,1127,1846,0
EV,MCI,1426,1631,0
US,JFK,1157,1349,0
DL,SLC,1646,1728,0
F9,IND,619,729,0
AA,DFW,1745,1802,0
EV,DEN,1536,1821,0
OO,FAT,1215,1315,0
AA,LAX,1740,2320,0
FL,ATL,2241,2305,1
EV,MHK,1713,1837,0
MQ,DFW,2027,2211,0
WN,ABQ,833,950,1
WN,CRP,608,701,0
AA,PNS,1546,1731,0
DL,DTW,2146,2354,0
DL,ATL,953,1122,0
AA,MIA,2005,2216,0
WN,SMF,1333,1952,0
WN,PHX,710,815,0
WN,PDX,1849,2011,0
AA,DCA,809,902,0
WN,AMA,1556,1604,0
EV,CRP,1550,1643,0
MQ,ROW,?,?,?
WN,DEN,1231,1704,0
UA,ORD,1616,1810,1
AS,KTN,1744,1831,1
WN,AUS,2113,2205,0
WN,BNA,923,1121,0
